,puuid,assists,deaths,kills,bountyLevel,champExperience,champLevel,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,inhibitorTakedowns,inhibitorsLost,killingSprees,pentaKills,quadraKills,timePlayed,totalTimeSpentDead,wardsKilled,wardsPlaced,baronKills,acesBefore15Minutes,controlWardsPlaced,damagePerMinute,goldPerMinute,killParticipation,laneMinionsFirst10Minutes,maxCsAdvantageOnLaneOpponent,skillshotsHit,damageTakenOnTeamPercentage,gameLength,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,teamEarlySurrendered,win,freshBlood,hotStreak,Churner
0,--84ko_OMxBHxuXeD3I2ARAiQY3WfyLasKoDy6vG7Ay3DYRTHQaREcC0ps5C1KDZOqD4NlVlzOR-zg,-3.41,-2.2200000000000006,0.7199999999999998,0.29000000000000004,93.04000000000087,0.3200000000000003,4064.62,4859.78,4064.62,10458.259999999998,0.33999999999999997,-0.17999999999999994,0.17999999999999994,0.0,0.0,134.0,-40.369999999999976,0.55,2.5500000000000007,0.0,-0.27,0.45999999999999996,-1922.45,-38.19999999999999,-0.04999999999999999,16.060000000000002,10.32,-17.91,0.02999999999999997,133.81999999999994,-9.09,10.71,-3.9,14.61,-1.3,-12.450000000000001,0.0,-1.1899999999999977,0.0,0.0,False
1,-186E5wdwUgbu4-5d9xFF1wD0PhWALZUTP10UaJpcSZyCuClG1TB-leCtpfirkGKE1YnQG61j-x9JQ,0.8399999999999999,0.2699999999999996,-1.92,-0.040000000000000036,-885.289999999999,-0.3100000000000005,-688.1799999999998,-1119.77,-688.1799999999998,20035.109999999997,0.09999999999999998,0.29000000000000004,-0.7099999999999999,0.0,0.0,355.55999999999995,18.899999999999977,1.21,4.98,-0.02,-0.21,0.0,-1079.4,-145.86,-0.039999999999999925,-0.23000000000000043,-2.3800000000000026,-1.7699999999999996,0.010000000000000009,355.53,-10.409999999999997,6.250000000000002,-25.0,-4.17,0.0,8.329999999999998,0.0,-6.25,0.0,0.0,False
2,-HrFTf4VehKN15CLaJmXlzxyYWScD_eWt0dklsbmOYWmKWPEH3ybDLlKEHCgdpsp92IMPIi2PPTPhA,-3.539999999999999,-2.08,-1.1400000000000006,0.29000000000000004,97.27999999999884,0.5499999999999989,2261.36,4072.41,2261.36,-3678.359999999997,-0.21999999999999997,0.58,-0.2400000000000002,0.0,0.03,456.75,-25.319999999999993,0.38,4.140000000000001,0.05,-0.51,0.17000000000000004,-943.4900000000001,-114.86999999999995,-0.08999999999999997,24.049999999999997,16.580000000000002,-14.43,-0.01999999999999999,456.5999999999999,-12.82,5.130000000000003,-11.54,3.2,0.0,-10.25,0.0,-8.329999999999998,0.0,0.0,False
3,-PRgON_1DeUOGNocGf3GcWLWHQfjaoBAIU56pQejKbVWHump_ms-4wAC6Ir53BoXMlvPzCVbU9GFIQ,-0.46999999999999975,-0.6299999999999999,-1.7400000000000002,0.6200000000000001,-1722.5,-0.7300000000000004,-1448.1100000000001,-1922.6899999999996,-1448.1100000000001,-2029.2700000000004,-0.23999999999999996,0.1399999999999999,-0.5699999999999998,0.0,0.07,-141.0,-35.34,0.25,0.5500000000000007,-0.03,0.0,0.3900000000000001,-203.08000000000004,-18.889999999999986,0.019999999999999962,-9.0,-16.4,5.390000000000001,0.009999999999999981,-141.13999999999987,16.67,5.210000000000001,10.420000000000002,-2.08,0.0,0.0,0.0,-14.579999999999998,0.0,0.0,False
4,00V3q2Aj08pP3KZpv6fmqb17F2nzgq0d-faxL7H4AzlyueouIWIxzViNPi17_iQKM6uVV6qeBesPHQ,-1.8200000000000003,1.9299999999999997,-0.41999999999999993,-0.29,-486.78000000000065,-0.2599999999999998,-399.25,-662.98,-399.25,-343.3099999999995,-0.15999999999999998,0.72,-0.09000000000000002,0.0,0.0,60.33999999999992,45.34,0.16000000000000014,2.0599999999999987,-0.02,0.0,0.050000000000000044,-454.2700000000001,-22.99000000000001,-0.04999999999999999,-2.83,3.629999999999999,12.090000000000003,0.01999999999999999,60.50999999999999,-4.3100000000000005,7.18,-10.34,-1.15,-1.15,8.04,-1.15,-29.020000000000003,0.0,0.0,False
5,03M-Cu8nEWAdwgPCPyAlBAA58KSeyw1J2ccN0K4durpKr7eokCrmwfB2n0QwPAeSFzj0J27KtviH_A,-0.39000000000000057,-0.17999999999999972,-0.7700000000000005,-0.44000000000000006,1099.2800000000007,0.5399999999999991,-455.8499999999999,1722.3500000000004,-455.8499999999999,-282.9200000000001,0.08999999999999997,0.6,-0.1299999999999999,-0.01,-0.03,188.47000000000003,-4.299999999999983,-0.1499999999999999,1.58,-0.02,-0.08,-0.01,-25.25999999999999,-25.810000000000002,-0.020000000000000018,0.3299999999999983,-6.5699999999999985,36.61,0.0,188.66999999999985,4.170000000000002,-3.12,-6.25,-4.17,0.0,9.38,0.0,-6.25,0.0,0.0,False
6,05KNFXQiDt-rgE5KxDwaaS8l4ViGqavNd3yR7PNKSI3MJd_G4HVdQK7ccSj4ME6irvZ7ybF2nzkvBw,-1.5300000000000002,-1.17,0.25,0.33000000000000007,-130.59000000000015,0.23000000000000043,-291.46000000000004,-1950.1900000000005,-291.46000000000004,2894.2599999999984,0.010000000000000009,0.030000000000000027,0.20999999999999996,0.0,0.04,5.869999999999891,-19.880000000000024,-0.69,-0.9100000000000001,0.0,0.0,-0.14,-22.360000000000014,9.889999999999986,-0.06,7.590000000000003,6.709999999999997,1.75,-0.010000000000000009,5.869999999999891,18.589999999999996,10.26,-1.05,5.17,-2.11,-2.2799999999999976,0.0,7.799999999999997,0.0,0.0,False
7,0L2z9jOqen4G_p7cOLE609m9IeVQvO6wPJgko_es5Nje8QIKtHbbUi56nDngTsXLl60Q26-Ua7BCXw,-1.5899999999999999,-1.2799999999999994,-2.1500000000000004,0.030000000000000027,-823.4500000000007,-0.2599999999999998,41.309999999999945,-3059.33,41.309999999999945,-661.1699999999983,-0.23,0.050000000000000044,-0.51,0.0,0.0,-133.74,-68.21000000000001,-0.39,-1.0199999999999996,-0.039999999999999994,0.0,-0.08000000000000002,-28.069999999999936,-27.74000000000001,-0.06,5.950000000000003,-6.449999999999999,0.8000000000000007,0.0,-134.02999999999997,-9.3,-10.270000000000001,-5.81,10.860000000000003,-1.16,-5.23,0.0,-17.83,0.0,0.0,False
8,0_OI2MNaQCLU3NkGay8zIpq5otOuDUehc-pc2joqXEe6zbrStsj8Jj632MmZ0PBKLauEW-sMza-Dew,1.1600000000000001,-0.9100000000000001,0.5300000000000002,-0.45999999999999996,-642.5699999999997,-0.5,2308.5,3030.4500000000007,2308.5,4765.019999999997,0.039999999999999925,-0.19000000000000017,0.42999999999999994,0.0,-0.02,16.159999999999854,-25.29000000000002,-0.09999999999999987,-1.4000000000000004,-0.01,-0.01,-0.9699999999999998,80.34000000000003,9.729999999999961,0.030000000000000027,-1.7100000000000009,6.359999999999999,-2.2300000000000004,0.010000000000000009,17.38000000000011,6.13,11.81,5.03,10.71,-1.1,-3.1099999999999994,0.0,6.039999999999999,0.0,0.0,False
9,0c14DyyK2suGmBNy8oLT_QGM1588rLTXQFqGplRmRdCsYR00b3HIHqugmRlkbvpPFv3gzBMebnH8IQ,0.7300000000000004,-0.40000000000000036,3.08,0.6000000000000001,1495.7999999999993,0.7799999999999994,1025.44,2165.75,1025.44,23191.270000000004,0.11999999999999994,0.0,0.77,0.0,0.15000000000000002,103.84000000000015,-0.5699999999999932,-0.020000000000000018,-0.3000000000000007,0.1,-0.01,-0.16999999999999993,126.13,34.19999999999999,0.010000000000000009,8.61,13.43,-8.3,0.010000000000000009,103.75999999999999,-3.369999999999999,16.490000000000002,-2.13,-4.26,0.0,0.5300000000000011,0.0,-1.0600000000000023,0.0,0.0,False
